Time [s], Analyzer Name, Decoded Protocol Result
0.000109500000000,I2C,Setup Write to [0xA6] + ACK
0.000960500000000,I2C,0x33 + ACK
0.001900500000000,I2C,Setup Read to [0xA7] + ACK
0.002755000000000,I2C,0x09 + NAK
0.003823000000000,I2C,Setup Write to [0x8C] + ACK
0.004668500000000,I2C,0x13 + ACK
0.005520000000000,I2C,0x00 + ACK
0.011172500000000,I2C,Setup Write to [0x8C] + ACK
0.012018000000000,I2C,0x13 + ACK
0.012869500000000,I2C,0x00 + ACK
0.013960000000000,I2C,Setup Write to [0x8C] + ACK
0.014805500000000,I2C,0x09 + ACK
0.015656500000000,I2C,0xBF + ACK
0.053615000000000,I2C,Setup Write to [0x8C] + ACK
0.054460000000000,I2C,0x13 + ACK
0.055311500000000,I2C,0x09 + ACK
0.060971500000000,I2C,Setup Write to [0x8C] + ACK
0.061817000000000,I2C,0x13 + ACK
0.062669000000000,I2C,0x09 + ACK
19.922895000000000,I2C,Setup Write to [0x8C] + ACK
19.926540500000002,I2C,0x00 + ACK
19.928040500000002,I2C,0x00 + ACK
20.128420999999999,I2C,Setup Write to [0xA6] + ACK
20.129767500000000,I2C,0x00 + ACK
20.131803500000000,I2C,Setup Read to [0xA7] + ACK
20.133840500000002,I2C,0xD5 + ACK
20.135240000000000,I2C,0x18 + ACK
20.136690999999999,I2C,0xAF + ACK
20.138228500000000,I2C,0xBC + ACK
20.139629500000002,I2C,0xD2 + ACK
20.141172000000001,I2C,0xDD + ACK
20.142730499999999,I2C,0xD7 + ACK
20.144134000000001,I2C,0x19 + ACK
20.145537500000000,I2C,0xB0 + ACK
20.146984499999999,I2C,0xB9 + NAK
20.204635499999998,I2C,Setup Write to [0xA6] + ACK
20.206007499999998,I2C,0x0A + ACK
20.208126499999999,I2C,Setup Read to [0xA7] + ACK
20.210075499999999,I2C,0xD2 + ACK
20.211480000000002,I2C,0xDB + ACK
20.213013499999999,I2C,0xCB + ACK
20.214441000000001,I2C,0x18 + ACK
20.215868000000000,I2C,0xB0 + ACK
20.217505500000001,I2C,0xB3 + ACK
20.218923499999999,I2C,0xD3 + ACK
20.220374000000000,I2C,0xD9 + ACK
20.221782999999999,I2C,0xC9 + ACK
20.223312499999999,I2C,0x18 + NAK
20.280760000000001,I2C,Setup Write to [0xA6] + ACK
20.282105999999999,I2C,0x14 + ACK
20.284272000000001,I2C,Setup Read to [0xA7] + ACK
20.286176000000001,I2C,0xB0 + ACK
20.287728500000000,I2C,0xB4 + ACK
20.289159000000001,I2C,0xD3 + ACK
20.290565999999998,I2C,0xDB + ACK
20.291962999999999,I2C,0xCB + ACK
20.293658000000001,I2C,0x1E + ACK
20.295062999999999,I2C,0xB0 + ACK
20.296467499999999,I2C,0xB3 + ACK
20.298024000000002,I2C,0xD3 + ACK
20.299451000000001,I2C,0xD9 + NAK
20.356994000000000,I2C,Setup Write to [0xA6] + ACK
20.358470499999999,I2C,0x1E + ACK
20.360458000000001,I2C,Setup Read to [0xA7] + ACK
20.362523500000002,I2C,0xFF + ACK
20.363944499999999,I2C,0xFF + ACK
20.365345000000001,I2C,0xFF + ACK
20.366798500000002,I2C,0xFF + ACK
20.368329500000002,I2C,0xFF + ACK
20.369851000000001,I2C,0xFF + ACK
20.371274499999998,I2C,0xFF + ACK
20.372834000000001,I2C,0xFF + ACK
20.374241000000001,I2C,0xFF + ACK
20.375637999999999,I2C,0x0B + NAK
20.433317500000001,I2C,Setup Write to [0xA6] + ACK
20.434683499999998,I2C,0x28 + ACK
20.436699999999998,I2C,Setup Read to [0xA7] + ACK
20.438731499999999,I2C,0xAE + ACK
20.440180999999999,I2C,0xAA + ACK
20.441586999999998,I2C,0xB6 + ACK
20.443123499999999,I2C,0xD4 + ACK
20.444544499999999,I2C,0xCE + ACK
20.446096499999999,I2C,0xCE + ACK
20.447628500000000,I2C,0x96 + ACK
20.449028999999999,I2C,0xC5 + ACK
20.450482500000000,I2C,0xC2 + ACK
20.451885000000001,I2C,0x70 + NAK
20.509533999999999,I2C,Setup Write to [0xA6] + ACK
20.510879500000001,I2C,0x32 + ACK
20.513018500000001,I2C,Setup Read to [0xA7] + ACK
20.514948499999999,I2C,0x8A + ACK
20.516352000000001,I2C,0x09 + ACK
20.517905500000001,I2C,0xBF + ACK
20.519338999999999,I2C,0x43 + ACK
20.520739500000001,I2C,0xBC + ACK
20.522368499999999,I2C,0x3B + ACK
20.523836500000002,I2C,0x46 + ACK
20.525241999999999,I2C,0x37 + ACK
20.526650000000000,I2C,0x00 + ACK
20.528199499999999,I2C,0x11 + NAK
20.585671500000000,I2C,Setup Write to [0xA6] + ACK
20.587067500000000,I2C,0x3C + ACK
20.589185000000001,I2C,Setup Read to [0xA7] + ACK
20.591110000000000,I2C,0x22 + ACK
20.592668499999998,I2C,0x86 + ACK
20.594072499999999,I2C,0x00 + ACK
20.595476000000001,I2C,0xC0 + ACK
20.596923000000000,I2C,0xFF + ACK
20.598577500000001,I2C,0x04 + ACK
20.599981000000000,I2C,0x12 + ACK
20.601405499999998,I2C,0x80 + ACK
20.602968000000001,I2C,0xFF + ACK
20.604368000000001,I2C,0x00 + NAK
20.661905500000000,I2C,Setup Write to [0xA6] + ACK
20.663381000000001,I2C,0x46 + ACK
20.665414999999999,I2C,Setup Read to [0xA7] + ACK
20.667433500000001,I2C,0x7F + ACK
20.668851499999999,I2C,0x80 + ACK
20.670302499999998,I2C,0xFF + ACK
20.671710999999998,I2C,0x80 + ACK
20.673241000000001,I2C,0xFF + ACK
20.674787500000001,I2C,0x80 + ACK
20.676217000000001,I2C,0xFF + ACK
20.677749500000001,I2C,0x80 + ACK
20.679152999999999,I2C,0xFF + ACK
20.680599999999998,I2C,0x80 + NAK
20.738237500000000,I2C,Setup Write to [0xA6] + ACK
20.739609500000000,I2C,0x50 + ACK
20.741599999999998,I2C,Setup Read to [0xA7] + ACK
20.743677500000000,I2C,0xFF + ACK
20.745082000000000,I2C,0x00 + ACK
20.746486999999998,I2C,0xFF + ACK
20.748042999999999,I2C,0xFF + ACK
20.749469999999999,I2C,0x0B + ACK
20.750994500000001,I2C,0xA2 + ACK
20.752504999999999,I2C,0xA0 + ACK
20.753973999999999,I2C,0xAA + ACK
20.755382500000000,I2C,0xCF + ACK
20.756783500000001,I2C,0xC9 + NAK
20.814340000000001,I2C,Setup Write to [0xA6] + ACK
20.815682500000001,I2C,0x5A + ACK
20.817850499999999,I2C,Setup Read to [0xA7] + ACK
20.819754499999998,I2C,0xC9 + ACK
20.821178499999998,I2C,0xFF + ACK
20.822738000000001,I2C,0xFF + ACK
20.824144499999999,I2C,0xFF + ACK
20.825541500000000,I2C,0xFF + ACK
20.827188000000000,I2C,0xFF + ACK
20.828648000000001,I2C,0xFF + ACK
20.830052500000001,I2C,0xFF + ACK
20.831479999999999,I2C,0xFF + ACK
20.833035500000001,I2C,0xFF + NAK
20.890585000000002,I2C,Setup Write to [0xA6] + ACK
20.891932499999999,I2C,0x64 + ACK
20.894049500000001,I2C,Setup Read to [0xA7] + ACK
20.896004500000000,I2C,0xFF + ACK
20.897535999999999,I2C,0xFF + ACK
20.898937000000000,I2C,0xFF + ACK
20.900390500000000,I2C,0xFF + ACK
20.901792499999999,I2C,0xFF + ACK
20.903445999999999,I2C,0xFF + ACK
20.904869500000000,I2C,0xFF + ACK
20.906300000000002,I2C,0xFF + ACK
20.907835500000001,I2C,0xFF + ACK
20.909232500000002,I2C,0xFF + NAK
20.966837999999999,I2C,Setup Write to [0x8C] + ACK
20.970633500000002,I2C,0x01 + ACK
20.971983500000000,I2C,0xAE + ACK
21.012602500000000,I2C,Setup Write to [0x8C] + ACK
21.016268000000000,I2C,0x02 + ACK
21.017740499999999,I2C,0xAA + ACK
21.058352500000002,I2C,Setup Write to [0x8C] + ACK
21.062096499999999,I2C,0x03 + ACK
21.063491500000001,I2C,0xB6 + ACK
21.103873000000000,I2C,Setup Write to [0x8C] + ACK
21.107672500000000,I2C,0x04 + ACK
21.109014999999999,I2C,0xBF + ACK
21.151837499999999,I2C,Setup Write to [0x8C] + ACK
21.155629500000000,I2C,0x05 + ACK
21.156983499999999,I2C,0xBC + ACK
21.197589499999999,I2C,Setup Write to [0x8C] + ACK
21.201250999999999,I2C,0x06 + ACK
21.202728499999999,I2C,0x3B + ACK
21.243203999999999,I2C,Setup Write to [0x8C] + ACK
21.246870000000001,I2C,0x07 + ACK
21.248342500000000,I2C,0xCE + ACK
21.288826499999999,I2C,Setup Write to [0x8C] + ACK
21.292621499999999,I2C,0x08 + ACK
21.293969000000001,I2C,0xB9 + ACK
21.334432000000000,I2C,Setup Write to [0x8C] + ACK
21.338225999999999,I2C,0x09 + ACK
21.339576999999998,I2C,0xB3 + ACK
21.379926500000000,I2C,Setup Write to [0x8C] + ACK
21.383718500000001,I2C,0x0A + ACK
21.385069000000001,I2C,0x96 + ACK
21.425549499999999,I2C,Setup Write to [0x8C] + ACK
21.429340000000000,I2C,0x0B + ACK
21.430686999999999,I2C,0xD3 + ACK
21.471215500000000,I2C,Setup Write to [0x8C] + ACK
21.475010000000001,I2C,0x0C + ACK
21.476354499999999,I2C,0xDB + ACK
21.516837500000001,I2C,Setup Write to [0x8C] + ACK
21.520632500000001,I2C,0x0D + ACK
21.522053000000000,I2C,0x1A + ACK
21.562589500000001,I2C,Setup Write to [0x8C] + ACK
21.566255000000002,I2C,0x0E + ACK
21.567734000000002,I2C,0xC5 + ACK
21.610389000000001,I2C,Setup Write to [0x8C] + ACK
21.614185500000001,I2C,0x0F + ACK
21.615551000000000,I2C,0xC2 + ACK
21.655906999999999,I2C,Setup Write to [0x8C] + ACK
21.659707500000000,I2C,0x10 + ACK
21.661071000000000,I2C,0x8A + ACK
21.701535499999999,I2C,Setup Write to [0x8C] + ACK
21.705335999999999,I2C,0x11 + ACK
21.706702499999999,I2C,0x0B + ACK
21.747278000000001,I2C,Setup Write to [0x8C] + ACK
21.750967500000002,I2C,0x12 + ACK
21.752466500000001,I2C,0x46 + ACK
21.792916999999999,I2C,Setup Write to [0x8C] + ACK
21.796586000000001,I2C,0x14 + ACK
21.798085000000000,I2C,0x37 + ACK
21.838532499999999,I2C,Setup Write to [0x8C] + ACK
21.842310999999999,I2C,0x15 + ACK
21.843696000000001,I2C,0x43 + ACK
21.884028499999999,I2C,Setup Write to [0x98] + ACK
21.887829000000000,I2C,0x00 + ACK
21.889193500000001,I2C,0xD4 + ACK
21.929632999999999,I2C,Setup Write to [0x98] + ACK
21.933433500000000,I2C,0x01 + ACK
21.934799999999999,I2C,0xCE + ACK
21.975252000000001,I2C,Setup Write to [0x98] + ACK
21.979052500000002,I2C,0x02 + ACK
21.980422999999998,I2C,0xCE + ACK
22.020866999999999,I2C,Setup Write to [0x98] + ACK
